row_no,psid,amount_minor,vendor_name,section,tax_period,expected_outcome,expected_error_code
1,12010300003231642,1800000,Vendor 1,153(1)(a),2026-07,VALID,
2,12010300003336818,2035000,Vendor 2,153(1)(a),2026-07,VALID,
3,12010300003447830,2270000,Vendor 3,153(1)(a),2026-07,VALID,
4,12010300003582528,2505000,Vendor 4,153(1)(a),2026-07,VALID,
5,12010300003674974,2740000,Vendor 5,153(1)(a),2026-07,VALID,
6,12010300003793653,2975000,Vendor 6,153(1)(a),2026-07,VALID,
7,12010300003852152,3210000,Vendor 7,153(1)(a),2026-07,VALID,
8,12010300003922280,3445000,Vendor 8,153(1)(a),2026-07,VALID,
9,12010300004037339,3680000,Vendor 9,153(1)(a),2026-07,VALID,
10,12010300004129118,3915000,Vendor 10,153(1)(a),2026-07,VALID,
11,12010300004259868,4150000,Vendor 11,153(1)(a),2026-07,VALID,
12,12010300004336105,4385000,Vendor 12,153(1)(a),2026-07,VALID,
13,12010100000192486,250000,Vendor 13 (duplicate submission),153(1)(a),2026-07,INVALID,ALREADY_SETTLED
