allocation_id,payment_id,assessment_id,line_item_id,revenue_head_code,revenue_head_id,amount_minor,allocation_basis,status,applied_at,reversal_reason
AL-000001,PM-00001,AS-00075,LI-000123,C05115,RH-PSCA-C05115,350000,WATERFALL,APPLIED,2026-07-30T09:00:00Z,
AL-000002,PM-00002,AS-00069,LI-000113,E04210,RH-ETPB-E04210,1000000,WATERFALL,APPLIED,2026-07-29T10:07:00Z,
AL-000003,PM-00003,AS-00032,LI-000062,P02100,RH-PRA-P02100,22100000,WATERFALL,APPLIED,2026-07-28T11:14:00Z,
AL-000004,PM-00004,AS-00159,LI-000276,B01102,RH-FBR-B01102,18700000,WATERFALL,APPLIED,2026-07-27T12:21:00Z,
AL-000005,PM-00004,AS-00159,LI-000277,B02388,RH-FBR-B02388,222000,WATERFALL,APPLIED,2026-07-27T12:21:00Z,
AL-000006,PM-00005,AS-00086,LI-000138,C05191,RH-PSCA-C05191,100000,WATERFALL,APPLIED,2026-07-30T13:28:00Z,
AL-000007,PM-00005,AS-00086,LI-000137,C05110,RH-PSCA-C05110,200000,WATERFALL,APPLIED,2026-07-30T13:28:00Z,
AL-000008,PM-00006,AS-00145,LI-000249,E04288,RH-ETPB-E04288,80000,WATERFALL,APPLIED,2026-07-29T14:35:00Z,
AL-000009,PM-00006,AS-00145,LI-000248,E04220,RH-ETPB-E04220,2400000,WATERFALL,APPLIED,2026-07-29T14:35:00Z,
AL-000010,PM-00007,AS-00152,LI-000263,E04288,RH-ETPB-E04288,260000,WATERFALL,APPLIED,2026-07-28T15:42:00Z,
AL-000011,PM-00007,AS-00152,LI-000262,E04291,RH-ETPB-E04291,4950000,WATERFALL,APPLIED,2026-07-28T15:42:00Z,
AL-000012,PM-00008,AS-00040,LI-000072,B03115,RH-FBR-B03115,1290000,WATERFALL,APPLIED,2026-07-27T16:49:00Z,
AL-000013,PM-00008,AS-00040,LI-000071,B03110,RH-FBR-B03110,70800000,WATERFALL,APPLIED,2026-07-27T16:49:00Z,
AL-000014,PM-00009,AS-00029,LI-000059,P02100,RH-PRA-P02100,15800000,WATERFALL,APPLIED,2026-07-30T17:56:00Z,
AL-000015,PM-00010,AS-00036,LI-000066,S02100,RH-SRB-S02100,19200000,WATERFALL,APPLIED,2026-07-29T09:03:00Z,
AL-000016,PM-00011,AS-00157,LI-000272,B01102,RH-FBR-B01102,15300000,WATERFALL,APPLIED,2026-07-28T10:10:00Z,
AL-000017,PM-00011,AS-00157,LI-000273,B02388,RH-FBR-B02388,178000,WATERFALL,APPLIED,2026-07-28T10:10:00Z,
AL-000018,PM-00012,AS-00081,LI-000131,C05115,RH-PSCA-C05115,650000,WATERFALL,APPLIED,2026-07-27T11:17:00Z,
AL-000019,PM-00013,AS-00078,LI-000127,C05110,RH-PSCA-C05110,200000,WATERFALL,APPLIED,2026-07-30T12:24:00Z,
AL-000020,PM-00014,AS-00013,LI-000031,B02391,RH-FBR-B02391,1100000,WATERFALL,APPLIED,2026-07-29T13:31:00Z,
AL-000021,PM-00014,AS-00013,LI-000030,B02388,RH-FBR-B02388,1288000,WATERFALL,APPLIED,2026-07-29T13:31:00Z,
AL-000022,PM-00014,AS-00013,LI-000029,B01101,RH-FBR-B01101,92000000,WATERFALL,APPLIED,2026-07-29T13:31:00Z,
AL-000023,PM-00015,AS-00151,LI-000261,E04288,RH-ETPB-E04288,230000,WATERFALL,APPLIED,2026-07-28T14:38:00Z,
AL-000024,PM-00015,AS-00151,LI-000260,E04291,RH-ETPB-E04291,4400000,WATERFALL,APPLIED,2026-07-28T14:38:00Z,
AL-000025,PM-00016,AS-00037,LI-000067,S02100,RH-SRB-S02100,21800000,WATERFALL,APPLIED,2026-07-27T15:45:00Z,
AL-000026,PM-00017,AS-00128,LI-000224,R08115,RH-BOR-R08115,1060000,WATERFALL,APPLIED,2026-07-30T16:52:00Z,
AL-000027,PM-00017,AS-00128,LI-000223,R08110,RH-BOR-R08110,20500000,WATERFALL,APPLIED,2026-07-30T16:52:00Z,
AL-000028,PM-00018,AS-00131,LI-000230,R08115,RH-BOR-R08115,1300000,WATERFALL,APPLIED,2026-07-29T17:59:00Z,
AL-000029,PM-00018,AS-00131,LI-000229,R08110,RH-BOR-R08110,29500000,WATERFALL,APPLIED,2026-07-29T17:59:00Z,
AL-000030,PM-00019,AS-00080,LI-000130,C05191,RH-PSCA-C05191,100000,WATERFALL,APPLIED,2026-07-28T09:06:00Z,
AL-000031,PM-00019,AS-00080,LI-000129,C05110,RH-PSCA-C05110,500000,WATERFALL,APPLIED,2026-07-28T09:06:00Z,
AL-000032,PM-00020,AS-00156,LI-000270,B01102,RH-FBR-B01102,13600000,WATERFALL,APPLIED,2026-07-27T10:13:00Z,
AL-000033,PM-00020,AS-00156,LI-000271,B02388,RH-FBR-B02388,156000,WATERFALL,APPLIED,2026-07-27T10:13:00Z,
AL-000034,PM-00021,AS-00126,LI-000220,R08115,RH-BOR-R08115,900000,WATERFALL,APPLIED,2026-07-30T11:20:00Z,
AL-000035,PM-00021,AS-00126,LI-000219,R08110,RH-BOR-R08110,14500000,WATERFALL,APPLIED,2026-07-30T11:20:00Z,
AL-000036,PM-00022,AS-00077,LI-000126,C05191,RH-PSCA-C05191,100000,WATERFALL,APPLIED,2026-07-29T12:27:00Z,
AL-000037,PM-00022,AS-00077,LI-000125,C05115,RH-PSCA-C05115,650000,WATERFALL,APPLIED,2026-07-29T12:27:00Z,
AL-000038,PM-00023,AS-00023,LI-000051,B02389,RH-FBR-B02389,328800,WATERFALL,APPLIED,2026-07-28T13:34:00Z,
AL-000039,PM-00023,AS-00023,LI-000050,B02341,RH-FBR-B02341,41100000,WATERFALL,APPLIED,2026-07-28T13:34:00Z,
AL-000040,PM-00024,AS-00079,LI-000128,C05115,RH-PSCA-C05115,350000,WATERFALL,APPLIED,2026-07-27T14:41:00Z,
AL-000041,PM-00025,AS-00033,LI-000063,P02100,RH-PRA-P02100,24200000,WATERFALL,APPLIED,2026-07-30T15:48:00Z,
AL-000042,PM-00026,AS-00084,LI-000135,C05110,RH-PSCA-C05110,500000,WATERFALL,APPLIED,2026-07-29T16:55:00Z,
