payment_id,payment_reference,intent_reference,agency_code,channel,rail,direction,instrument_id,bulk_batch_id,rtp_reference,gross_amount_minor,fee_amount_minor,net_to_agency_minor,unapplied_amount_minor,currency,status,finality,value_date,obligation_discharge_date,cutoff_reason,cutoff_rule_version,received_at,confirmed_at,rail_e2e_id,rail_uetr,switch_stan,switch_rrn,acquirer_id,payer_account_masked,payer_bank_bic,remittance_raw,third_party_payer,settlement_cycle,duplicate_of_payment_reference,in_bank_statement,in_switch_file,in_rail_file
PM-00001,P2600001,IP26000010,PSCA,APP,RAAST,INBOUND,,,,350000,2500,350000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T09:00:00Z,2026-07-30T09:00:00Z,E2EP26000010000,8e5e4e8d-200a-4df4-86ce-864facf3868f,,,,PK**************6939,EASYPKKA,PSID 41011400000415168 TRAFFIC E-CHALLAN - ,,RAAST-2026-07-30-C3,,Y,N,Y
PM-00002,P2600002,IP26000020,ETPB,QR,RAAST,INBOUND,,,,1000000,2500,1000000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T10:07:00Z,2026-07-29T10:07:00Z,E2EP26000020001,fceea5c4-8d5d-4fd8-8e19-e61fa4df7f64,,,,PK**************7776,UNILPKKA,PSID 31010900001378322 MOTOR VEHICLE TOKEN ,,RAAST-2026-07-29-C3,,Y,N,Y
PM-00003,P2600003,IP26000030,PRA,BILLER,IBFT_1LINK,INBOUND,,,,22100000,0,22100000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T11:14:00Z,2026-07-28T11:14:00Z,E2EP26000030002,,758403,26209860258,NBPAACQ,PK**************7433,NBPAPKKA,PSID 21010700000751181 PUNJAB SALES TAX ON ,,,,Y,Y,N
PM-00004,P2600004,IP26000040,FBR,ATM,IBFT_1LINK,INBOUND,,,,18922000,0,18922000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T12:21:00Z,2026-07-27T12:21:00Z,E2EP26000040003,,119106,26208973416,ALFHACQ,PK**************4703,ALFHPKKA,PSID 12010200005030616 INCOME TAX - INDIVID,,,,Y,Y,N
PM-00005,P2600005,IP26000050,PSCA,IBANKING,RAAST,INBOUND,,,,300000,2500,300000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T13:28:00Z,2026-07-30T13:28:00Z,E2EP26000050004,5cb69c76-1185-40fc-8577-3edd93971f5b,,,,PK**************6028,JSBLPKKA,PSID 41011300001502164 TRAFFIC E-CHALLAN - ,,RAAST-2026-07-30-C4,,Y,N,Y
PM-00006,P2600006,IP26000060,ETPB,CARD,PAYPAK,INBOUND,,,,2480000,0,2480000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T14:35:00Z,2026-07-29T14:35:00Z,E2EP26000060005,,881073,26210711449,SCBLACQ,PK**************1754,SCBLPKKX,PSID 31011100002088592 PROFESSIONAL TAX - B,,,,Y,Y,N
PM-00007,P2600007,IP26000070,ETPB,WALLET,WALLET,INBOUND,,,,5210000,0,5210000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T15:42:00Z,2026-07-28T15:42:00Z,E2EP26000070006,,,,,PK**************8478,FAYSPKKA,PSID 31011200002759402 PROPERTY TAX - URBAN,,,,Y,N,N
PM-00008,P2600008,IP26000080,FBR,AGENT,IBFT_1LINK,INBOUND,,,,72090000,0,72090000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T16:49:00Z,2026-07-27T16:49:00Z,E2EP26000080007,,100086,26208932257,MEZNACQ,PK**************2313,MEZNPKKA,PSID 12010500002743126 CUSTOMS DUTY & TAXES,,,,Y,Y,N
PM-00009,P2600009,IP26000090,PRA,API,PRISM_RTGS,INBOUND,,,,15800000,0,15800000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T17:56:00Z,2026-07-30T17:56:00Z,E2EP26000090008,,,,,PK**************1035,JSBLPKKA,PSID 21010700000453545 PUNJAB SALES TAX ON ,,,,Y,N,N
PM-00010,P260000A,IP260000A0,SRB,APP,RAAST,INBOUND,,,,19200000,0,19200000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T09:03:00Z,2026-07-29T09:03:00Z,E2EP260000A0009,84a41257-fbdf-40b4-8855-3bdbb8369108,,,,PK**************4016,HABBPKKA,PSID 22010800000305128 SINDH SALES TAX ON S,,RAAST-2026-07-29-C3,,Y,N,Y
PM-00011,P260000B,IP260000B0,FBR,QR,RAAST,INBOUND,,,,15478000,0,15478000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T10:10:00Z,2026-07-28T10:10:00Z,E2EP260000B0010,c440a9c8-1356-47e2-82dc-0654480d00bf,,,,PK**************8055,SCBLPKKX,PSID 12010200004893001 INCOME TAX - INDIVID,,RAAST-2026-07-28-C3,,Y,N,Y
PM-00012,P260000C,IP260000C0,PSCA,BILLER,IBFT_1LINK,INBOUND,,,,650000,2500,650000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T11:17:00Z,2026-07-27T11:17:00Z,E2EP260000C0011,,759135,26208729290,UNILACQ,PK**************6279,UNILPKKA,PSID 41011400001019517 TRAFFIC E-CHALLAN - ,,,,Y,Y,N
PM-00013,P260000D,IP260000D0,PSCA,ATM,IBFT_1LINK,INBOUND,,,,200000,2500,200000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T12:24:00Z,2026-07-30T12:24:00Z,E2EP260000D0012,,294030,26211664006,UNILACQ,PK**************2631,UNILPKKA,PSID 41011300000758728 TRAFFIC E-CHALLAN - ,,,,Y,Y,N
PM-00014,P260000E,IP260000E0,FBR,IBANKING,RAAST,INBOUND,,,,94388000,0,94388000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T13:31:00Z,2026-07-29T13:31:00Z,E2EP260000E0013,07c0ede9-ab24-4856-866e-aed8d34cd764,,,,PK**************8964,EASYPKKA,PSID 12010100001359715 INCOME TAX - COMPANI,,RAAST-2026-07-29-C4,,Y,N,Y
