settlement_file,cycle_id,cycle_cutoff,business_date,participant_bic,counterparty_bic,end_to_end_id,uetr,message_type,amount_minor,currency,status,cycle_declared_net_minor,cycle_txn_count,payment_reference
RAAST-STL-2026-07-30,RAAST-2026-07-27-C3,3,2026-07-27,NEXUSPKK,HABBPKKA,E2EP260000M0019,9b68288c-e4d9-43b7-8da1-c270243aa186,pacs.008,13756000,PKR,ACSC,31256000,4,P260000M
RAAST-STL-2026-07-30,RAAST-2026-07-27-C3,3,2026-07-27,NEXUSPKK,ALFHPKKA,E2EP260000W0027,953efbba-9352-42c4-87fb-499e5117d68b,pacs.008,150000,PKR,ACSC,31256000,4,P260000W
RAAST-STL-2026-07-30,RAAST-2026-07-27-C3,3,2026-07-27,NEXUSPKK,NBPAPKKA,E2EP260001R0055,91b1302b-11bc-4d66-87ed-044c50586613,pacs.008,17200000,PKR,ACSC,31256000,4,P260001R
RAAST-STL-2026-07-30,RAAST-2026-07-27-C3,3,2026-07-27,NEXUSPKK,HABBPKKA,E2EP26000200063,b394af06-74ee-4fe7-828c-fb2122c4d2da,pacs.008,150000,PKR,ACSC,31256000,4,P2600020
RAAST-STL-2026-07-30,RAAST-2026-07-27-C4,4,2026-07-27,NEXUSPKK,MEZNPKKA,E2EP26000100031,50cecec7-090a-4146-880b-8655df2f3b43,pacs.008,2500000,PKR,ACSC,77500000,2,P2600010
RAAST-STL-2026-07-30,RAAST-2026-07-27-C4,4,2026-07-27,NEXUSPKK,HABBPKKA,E2EP26000240067,7aec22f1-67b3-4949-8488-6ec5a7fe219f,pacs.008,75000000,PKR,ACSC,77500000,2,P2600024
RAAST-STL-2026-07-30,RAAST-2026-07-28-C3,3,2026-07-28,NEXUSPKK,SCBLPKKX,E2EP260000B0010,c440a9c8-1356-47e2-82dc-0654480d00bf,pacs.008,15478000,PKR,ACSC,116228000,4,P260000B
RAAST-STL-2026-07-30,RAAST-2026-07-28-C3,3,2026-07-28,NEXUSPKK,JSBLPKKA,E2EP260000K0018,5e53b3ba-9a88-43c0-8854-2323ed2f8f4b,pacs.008,600000,PKR,ACSC,116228000,4,P260000K
RAAST-STL-2026-07-30,RAAST-2026-07-28-C3,3,2026-07-28,NEXUSPKK,MEZNPKKA,E2EP260001F0046,a37b90ad-a074-4cc0-85cb-4d4c5cf1ee19,pacs.008,100000000,PKR,ACSC,116228000,4,P260001F
RAAST-STL-2026-07-30,RAAST-2026-07-28-C3,3,2026-07-28,NEXUSPKK,FAYSPKKA,E2EP260001Q0054,63823796-99c1-4f63-85a9-38df8cf384d1,pacs.008,150000,PKR,ACSC,116228000,4,P260001Q
RAAST-STL-2026-07-30,RAAST-2026-07-28-C4,4,2026-07-28,NEXUSPKK,ALFHPKKA,E2EP260000Q0022,f70c4d31-a282-43b8-86c9-5e1c61e977b7,pacs.008,41428800,PKR,ACSC,115583300,5,P260000Q
RAAST-STL-2026-07-30,RAAST-2026-07-28-C4,4,2026-07-28,NEXUSPKK,ALFHPKKA,E2EP260001V0058,cf428bac-3872-4389-8e9c-062089044ecb,pacs.008,150000,PKR,ACSC,115583300,5,P260001V
RAAST-STL-2026-07-30,RAAST-2026-07-28-C4,4,2026-07-28,NEXUSPKK,FAYSPKKA,R260002,b728f0ca-0f12-489b-8f90-1cad5b1951e1,pacs.008,1250000,PKR,ACSC,115583300,5,P260002J
RAAST-STL-2026-07-30,RAAST-2026-07-28-C4,4,2026-07-28,NEXUSPKK,SCBLPKKX,E2EP26000310096,93bf4aa6-eae7-4d10-837b-839ce920a146,pacs.008,35743500,PKR,ACSC,115583300,5,P2600031
RAAST-STL-2026-07-30,RAAST-2026-07-28-C4,4,2026-07-28,NEXUSPKK,NBPAPKKA,E2EP26000340099,8024f355-821f-43d9-8d72-be947b6f5b59,pacs.008,37011000,PKR,ACSC,115583300,5,P2600034
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,UNILPKKA,E2EP26000020001,fceea5c4-8d5d-4fd8-8e19-e61fa4df7f64,pacs.008,1000000,PKR,ACSC,119596500,8,P2600002
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,HABBPKKA,E2EP260000A0009,84a41257-fbdf-40b4-8855-3bdbb8369108,pacs.008,19200000,PKR,ACSC,119596500,8,P260000A
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,MEZNPKKA,E2EP26000160037,2a86d4d5-e991-4b82-851b-c3de5b4ebb7f,pacs.008,88471500,PKR,ACSC,119596500,8,P2600016
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,MUCBPKKA,E2EP260001E0045,8b85e14e-31c0-4013-8117-f7757da4a84f,pacs.008,1325000,PKR,ACSC,119596500,8,P260001E
