settlement_file,acquirer_id,stan,rrn,txn_date,txn_time,biller_id,consumer_number,transaction_amount_minor,switch_fee_minor,response_code,channel,end_to_end_id,payment_reference
1LINK-STL-2026-07-30,NBPAACQ,758403,26209860258,2026-07-28,11:14:00,NEXUSCOLLECT,ON,22100000,1000,00,BILLER,E2EP26000030002,P2600003
1LINK-STL-2026-07-30,ALFHACQ,119106,26208973416,2026-07-27,12:21:00,NEXUSCOLLECT,INDIVID,18922000,1000,00,ATM,E2EP26000040003,P2600004
1LINK-STL-2026-07-30,SCBLACQ,881073,26210711449,2026-07-29,14:35:00,NEXUSCOLLECT,B,2480000,1000,00,CARD,E2EP26000060005,P2600006
1LINK-STL-2026-07-30,MEZNACQ,100086,26208932257,2026-07-27,16:49:00,NEXUSCOLLECT,TAXES,72090000,1000,00,AGENT,E2EP26000080007,P2600008
1LINK-STL-2026-07-30,UNILACQ,759135,26208729290,2026-07-27,11:17:00,NEXUSCOLLECT,-,650000,1000,00,BILLER,E2EP260000C0011,P260000C
1LINK-STL-2026-07-30,UNILACQ,294030,26211664006,2026-07-30,12:24:00,NEXUSCOLLECT,-,195000,1000,00,ATM,E2EP260000D0012,P260000D
1LINK-STL-2026-07-30,MUCBACQ,265891,26209956122,2026-07-28,14:38:00,NEXUSCOLLECT,URBAN,4630000,1000,00,CARD,E2EP260000F0014,P260000F
1LINK-STL-2026-07-30,FAYSACQ,665871,26212278683,2026-07-31,16:52:00,NEXUSCOLLECT,PROPERT,21560000,1000,00,AGENT,E2EP260000H0016,P260000H
1LINK-STL-2026-07-30,EASYACQ,910512,26211129856,2026-07-30,11:20:00,NEXUSCOLLECT,PROPERT,15400000,1750,00,BILLER,E2EP260000N0020,P260000N
1LINK-STL-2026-07-30,MUCBACQ,404998,26210716852,2026-07-29,12:27:00,NEXUSCOLLECT,-,750000,1000,00,ATM,E2EP260000P0021,P260000P
1LINK-STL-2026-07-30,NBPAACQ,424044,26208420533,2026-07-27,14:41:00,NEXUSCOLLECT,-,350000,1000,00,CARD,E2EP260000R0023,P260000R
1LINK-STL-2026-07-30,ALFHACQ,351599,26210363986,2026-07-29,16:55:00,NEXUSCOLLECT,-,500000,1000,00,AGENT,E2EP260000T0025,P260000T
