revenue_head_id,agency_code,code,name,fund,object_class,is_refundable_deposit,effective_from,effective_to
RH-FBR-B01101,FBR,B01101,Income Tax on Companies,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B01102,FBR,B01102,Income Tax on Individuals & AOPs,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B01110,FBR,B01110,Withholding Tax - Contracts (s.153),FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B02341,FBR,B02341,Sales Tax on Goods (Domestic),FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B02388,FBR,B02388,Default Surcharge - Income Tax,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B02391,FBR,B02391,Penalty - Income Tax,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B02389,FBR,B02389,Default Surcharge - Sales Tax,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B02392,FBR,B02392,Penalty - Sales Tax,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B03110,FBR,B03110,Customs Duty,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B03115,FBR,B03115,Additional Customs Duty,FEDERAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-FBR-B09999,FBR,B09999,Rounding Relief - Federal,FEDERAL_CONSOLIDATED,OTHER,N,2026-07-01,
RH-PRA-P02100,PRA,P02100,Punjab Sales Tax on Services,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-PRA-P02188,PRA,P02188,Default Surcharge - PST,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-PRA-P02191,PRA,P02191,Penalty - PST,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-PRA-P09999,PRA,P09999,Rounding Relief - Punjab,PROVINCIAL_CONSOLIDATED,OTHER,N,2026-07-01,
RH-SRB-S02100,SRB,S02100,Sindh Sales Tax on Services,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-SRB-S02188,SRB,S02188,Default Surcharge - SST,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-ETPB-E04210,ETPB,E04210,Motor Vehicle Token Tax,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-ETPB-E04215,ETPB,E04215,Motor Vehicle Registration Fee,PROVINCIAL_CONSOLIDATED,FEE,N,2026-07-01,
RH-ETPB-E04220,ETPB,E04220,Professional Tax,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-ETPB-E04288,ETPB,E04288,Late Payment Surcharge - MVT,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-ETPB-E04291,ETPB,E04291,Property Tax (Urban Immovable),PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-PSCA-C05110,PSCA,C05110,Traffic Fines - Moving Violations,PROVINCIAL_CONSOLIDATED,FINE,N,2026-07-01,
RH-PSCA-C05115,PSCA,C05115,Traffic Fines - Parking & Static,PROVINCIAL_CONSOLIDATED,FINE,N,2026-07-01,
RH-PSCA-C05191,PSCA,C05191,Escalation Penalty - Traffic,PROVINCIAL_CONSOLIDATED,FINE,N,2026-07-01,
RH-WASA-W06110,WASA,W06110,Water Charges - Domestic,PROVINCIAL_CONSOLIDATED,NON_TAX_RECEIPT,N,2026-07-01,
RH-WASA-W06115,WASA,W06115,Sewerage & Conservancy Charges,PROVINCIAL_CONSOLIDATED,NON_TAX_RECEIPT,N,2026-07-01,
RH-WASA-W06188,WASA,W06188,Arrears Surcharge - Water,PROVINCIAL_CONSOLIDATED,NON_TAX_RECEIPT,N,2026-07-01,
RH-LHC-J07110,LHC,J07110,Court Fees,PROVINCIAL_CONSOLIDATED,FEE,N,2026-07-01,
RH-LHC-J07910,LHC,J07910,Security Deposit - Litigation,PUBLIC_ACCOUNT,DEPOSIT,Y,2026-07-01,
RH-BOR-R08110,BOR,R08110,Stamp Duty on Instruments,PROVINCIAL_CONSOLIDATED,TAX_RECEIPT,N,2026-07-01,
RH-BOR-R08115,BOR,R08115,Registration Fee - Immovable Property,PROVINCIAL_CONSOLIDATED,FEE,N,2026-07-01,
RH-BOR-R08910,BOR,R08910,Tender / Earnest Money Deposit,PUBLIC_ACCOUNT,DEPOSIT,Y,2026-07-01,
RH-NADRA-N09110,NADRA,N09110,CNIC & Identity Document Fees,FEDERAL_CONSOLIDATED,FEE,N,2026-07-01,
RH-FBR-B08110,FBR,B08110,Dishonoured Instrument Charge,FEDERAL_CONSOLIDATED,NON_TAX_RECEIPT,N,2026-07-01,
